time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
1,0,0,0,0,0
2,-0,-0,0,0,0
3,-0,-0,0,0,0
4,-0,-0,0,0,0
5,-0,-0,0,0,0
6,-0,-0,0,0,0
7,-0,-0,0,0,0
8,-0,-0,0,0,0
9,-0,-0,0,0,0
10,-0,-0,0,0,0
11,-0,-0,0,0,0
12,-0,-0,0,0,0
13,-0,-0,0,0,0
14,-0,-0,0,0,0
15,-0,-0,0,0,0
16,-0,-0,0,0,0
17,-0,-0,0,0,0
18,-0,-0,0,0,0
19,-0,-0,0,0,0
20,-0,-0,0,0,0
21,-0,-0,0,0,0
22,-0,-0,0,0,0
23,-0,-0,0,0,0
24,-0,-0,0,0,0
25,-0,-0,0,0,0
26,-0,-0,0,0,0
27,-0,-0,0,0,0
28,-0,-0,0,0,0
29,-0,-0,0,0,0
30,-0,-0,0,0,0
31,-0,-0,0,0,0
32,-0,-0,0,0,0
33,-0,-0,0,0,0
34,-0,-0,0,0,0
35,-0,-0,0,0,0
36,-0,-0,0,0,0
37,-0,-0,0,0,0
38,-0,-0,0,0,0
39,-0,-0,0,0,0
40,-0,-0,0,0,0
41,-0,-0,0,0,0
42,-0,-0,0,0,0
43,-0,-0,0,0,0
44,-0,-0,0,0,0
45,-0,-0,0,0,0
46,-0,-0,0,0,0
47,-0,-0,0,0,0
48,-0,-0,0,0,0
49,-0,-0,0,0,0
50,-0,-0,0,0,0
51,-0,-0,0,0,0
52,-0,-0,0,0,0
53,-0,-0,0,0,0
54,-0,-0,0,0,0
55,-0,-0,0,0,0
56,-0,-0,0,0,0
57,-0,-0,0,0,0
58,-0,-0,0,0,0
59,-0,-0,0,0,0
60,-0,-0,0,0,0
61,-0,-0,0,0,0
62,-0,-0,0,0,0
63,-0,-0,0,0,0
64,-0,-0,0,0,0
65,-0,-0,0,0,0
66,-0,-0,0,0,0
67,-0,-0,0,0,0
68,-0,-0,0,0,0
69,-0,-0,0,0,0
70,-0,-0,0,0,0
71,-0,-0,0,0,0
72,-0,-0,0,0,0
73,-0,-0,0,0,0
74,-0,-0,0,0,0
75,-0,-0,0,0,0
76,-0,-0,0,0,0
77,-0,-0,0,0,0
78,-0,-0,0,0,0
79,-0,-0,0,0,0
80,-0,-0,0,0,0
81,-0,-0,0,0,0
82,-0,-0,0,0,0
83,-0,-0,0,0,0
84,-0,-0,0,0,0
85,-0,-0,0,0,0
86,-0,-0,0,0,0
87,-0,-0,0,0,0
88,-0,-0,0,0,0
89,-0,-0,0,0,0
90,-0,-0,0,0,0
91,-0,-0,0,0,0
92,-0,-0,0,0,0
93,-0,-0,0,0,0
94,-0,-0,0,0,0
95,-0,-0,0,0,0
96,-0,-0,0,0,0
97,-0,-0,0,0,0
98,-0,-0,0,0,0
99,-0,-0,0,0,0
100,-0,-0,0,0,0
101,-0,-0,0,0,0
102,-0,-0,0,0,0
103,-0,-0,0,0,0
104,-0,-0,0,0,0
105,-0,-0,0,0,0
106,-0,-0,0,0,0
107,-0,-0,0,0,0
108,-0,-0,0,0,0
109,-0,-0,0,0,0
110,-0,-0,0,0,0
111,-0,-0,0,0,0
112,-0,-0,0,0,0
113,-0,-0,0,0,0
114,-0,-0,0,0,0
115,-0,-0,0,0,0
116,-0,-0,0,0,0
117,-0,-0,0,0,0
118,-0,-0,0,0,0
119,-0,-0,0,0,0
120,-0,-0,0,0,0
121,-0,-0,0,0,0
122,-0,-0,0,0,0
123,-0,-0,0,0,0
124,-0,-0,0,0,0
125,-0,-0,0,0,0
126,-0,-0,0,0,0
127,-0,-0,0,0,0
128,-0,-0,0,0,0
129,-0,-0,0,0,0
130,-0,-0,0,0,0
131,-0,-0,0,0,0
132,-0,-0,0,0,0
133,-0,-0,0,0,0
134,-0,-0,0,0,0
135,-0,-0,0,0,0
136,-0,-0,0,0,0
137,-0,-0,0,0,0
138,-0,-0,0,0,0
139,-0,-0,0,0,0
140,-0,-0.1008,0,0,0
141,-0,-0.1008,0,-0.00192837,0
142,-0,-0.1024,0,-0.00353605,0
143,-0,-0.1024,0,-0.00490697,0
144,0.1008,-0.104,0,-0.0060499,0
145,0.1008,-0.104,0.00192837,-0.00703336,0
146,0.1024,-0.1056,0.00353605,-0.00785326,0
147,0.1024,-0.1056,0.00490697,-0.00856742,0
148,0.104,-0.1072,0.0060499,-0.0091628,0
149,0.104,-0.1072,0.00703336,-0.00968977,0
150,0.1056,-0.1088,0.00785326,-0.0101291,0
151,0.1056,-0.1088,0.00856742,-0.010526,0
152,0.1072,-0.1104,0.0091628,-0.0108569,0
153,0.1072,-0.1104,0.00968977,-0.0111633,0
154,0.1088,-0.112,0.0101291,-0.0114188,0
155,0.1088,-0.112,0.010526,-0.0116624,0
156,0.1104,-0.1136,0.0108569,-0.0118655,0
157,0.1104,-0.1136,0.0111633,-0.0120654,0
158,0.112,-0.1152,0.0114188,-0.012232,0
159,0.112,-0.1152,0.0116624,-0.0124016,0
160,0.1136,-0.1168,0.0118655,-0.0125429,0
161,0.1136,-0.1168,0.0120654,-0.0126914,0
162,0.1152,-0.1184,0.012232,-0.0128151,0
163,0.1152,-0.1184,0.0124016,-0.0129489,0
164,0.1168,-0.12,0.0125429,-0.0130604,0
165,0.1168,-0.12,0.0126914,-0.013184,0
166,0.1184,-0.1216,0.0128151,-0.013287,0
167,0.1184,-0.1216,0.0129489,-0.0134035,0
168,0.12,-0.1232,0.0130604,-0.0135006,0
169,0.12,-0.1232,0.013184,-0.0136122,0
170,0.1216,-0.1248,0.013287,-0.0137052,0
171,0.1216,-0.1248,0.0134035,-0.0138134,0
172,0.1232,-0.1264,0.0135006,-0.0139035,0
173,0.1232,-0.1264,0.0136122,-0.0140093,0
174,0.1248,-0.128,0.0137052,-0.0140975,0
175,0.1248,-0.128,0.0138134,-0.0142016,0
176,0.1264,-0.1296,0.0139035,-0.0142884,0
177,0.1264,-0.1296,0.0140093,-0.0143913,0
178,0.128,-0.1312,0.0140975,-0.0144772,0
179,0.128,-0.1312,0.0142016,-0.0145793,0
180,0.1296,-0.1328,0.0142884,-0.0146645,0
181,0.1296,-0.1328,0.0143913,-0.0147661,0
182,0.1312,-0.1344,0.0144772,-0.0148508,0
183,0.1312,-0.1344,0.0145793,-0.014952,0
184,0.1328,-0.136,0.0146645,-0.0150364,0
185,0.1328,-0.136,0.0147661,-0.0151374,0
186,0.1344,-0.1376,0.0148508,-0.0152215,0
187,0.1344,-0.1376,0.014952,-0.0153223,0
188,0.136,-0.1392,0.0150364,-0.0154063,0
189,0.136,-0.1392,0.0151374,-0.0155069,0
190,0.1376,-0.1408,0.0152215,-0.0155908,0
191,0.1376,-0.1408,0.0153223,-0.0156914,0
192,0.1392,-0.1424,0.0154063,-0.0157752,0
193,0.1392,-0.1424,0.0155069,-0.0158756,0
194,0.1408,-0.144,0.0155908,-0.0159594,0
195,0.1408,-0.144,0.0156914,-0.0160598,0
196,0.1424,-0.1456,0.0157752,-0.0161436,0
197,0.1424,-0.1456,0.0158756,-0.016244,0
198,0.144,-0.1472,0.0159594,-0.0163277,0
199,0.144,-0.1472,0.0160598,-0.0164281,0
200,0.1456,-0.1488,0.0161436,-0.0165117,0
201,0.1456,-0.1488,0.016244,-0.0166121,0
202,0.1472,-0.1504,0.0163277,-0.0166958,0
203,0.1472,-0.1504,0.0164281,-0.0167961,0
204,0.1488,-0.152,0.0165117,-0.0168798,0
205,0.1488,-0.152,0.0166121,-0.0169802,0
206,0.1504,-0.1536,0.0166958,-0.0170638,0
207,0.1504,-0.1536,0.0167961,-0.0171642,0
208,0.152,-0.1552,0.0168798,-0.0172478,0
209,0.152,-0.1552,0.0169802,-0.0173481,0
210,0.1536,-0.1568,0.0170638,-0.0174318,0
211,0.1536,-0.1568,0.0171642,-0.0175321,0
212,0.1552,-0.1584,0.0172478,-0.0176158,0
213,0.1552,-0.1584,0.0173481,-0.0177161,0
214,0.1568,-0.16,0.0174318,-0.0177997,0
215,0.1568,-0.16,0.0175321,-0.0179001,0
216,0.1584,-0.1616,0.0176158,-0.0179837,0
217,0.1584,-0.1616,0.0177161,-0.018084,0
218,0.16,-0.1632,0.0177997,-0.0181677,0
219,0.16,-0.1632,0.0179001,-0.018268,0
220,0.1616,-0.1648,0.0179837,-0.0183517,0
221,0.1616,-0.1648,0.018084,-0.018452,0
222,0.1632,-0.1664,0.0181677,-0.0185356,0
223,0.1632,-0.1664,0.018268,-0.0186359,0
224,0.1648,-0.168,0.0183517,-0.0187196,0
225,0.1648,-0.168,0.018452,-0.0188199,0
226,0.1664,-0.1696,0.0185356,-0.0189035,0
227,0.1664,-0.1696,0.0186359,-0.0190039,0
228,0.168,-0.1712,0.0187196,-0.0190875,0
229,0.168,-0.1712,0.0188199,-0.0191878,0
230,0.1696,-0.1728,0.0189035,-0.0192715,0
231,0.1696,-0.1728,0.0190039,-0.0193718,0
232,0.1712,-0.1744,0.0190875,-0.0194554,0
233,0.1712,-0.1744,0.0191878,-0.0195557,0
234,0.1728,-0.176,0.0192715,-0.0196394,0
235,0.1728,-0.176,0.0193718,-0.0197397,0
236,0.1744,-0.1776,0.0194554,-0.0198233,0
237,0.1744,-0.1776,0.0195557,-0.0199236,0
238,0.176,-0.1792,0.0196394,-0.0200073,0
239,0.176,-0.1792,0.0197397,-0.0201076,0
240,0.1776,-0.1808,0.0198233,-0.0201912,0
241,0.1776,-0.1808,0.0199236,-0.0202915,0
242,0.1792,-0.1824,0.0200073,-0.0203752,0
243,0.1792,-0.1824,0.0201076,-0.0204755,0
244,0.1808,-0.184,0.0201912,-0.0205591,0
245,0.1808,-0.184,0.0202915,-0.0206594,0
246,0.1824,-0.1856,0.0203752,-0.0207431,0
247,0.1824,-0.1856,0.0204755,-0.0208434,0
248,0.184,-0.1872,0.0205591,-0.020927,0
249,0.184,-0.1872,0.0206594,-0.0210273,0
250,0.1856,-0.1888,0.0207431,-0.021111,0
251,0.1856,-0.1888,0.0208434,-0.0212113,0
252,0.1872,-0.1904,0.020927,-0.0212949,0
253,0.1872,-0.1904,0.0210273,-0.0213952,0
254,0.1888,-0.192,0.021111,-0.0214789,0
255,0.1888,-0.192,0.0212113,-0.0215792,0
256,0.1904,-0.1936,0.0212949,-0.0216628,0
257,0.1904,-0.1936,0.0213952,-0.0217631,0
258,0.192,-0.1952,0.0214789,-0.0218467,0
259,0.192,-0.1952,0.0215792,-0.021947,0
260,0.1936,-0.1968,0.0216628,-0.0220307,0
261,0.1936,-0.1968,0.0217631,-0.022131,0
262,0.1952,-0.1984,0.0218467,-0.0222146,0
263,0.1952,-0.1984,0.021947,-0.0223149,0
264,0.1968,-0.2,0.0220307,-0.0223985,0
265,0.1968,-0.2,0.022131,-0.0224988,0
266,0.1984,-0.2016,0.0222146,-0.0225825,0
267,0.1984,-0.2016,0.0223149,-0.0226828,0
268,0.2,-0.2032,0.0223985,-0.0227664,0
269,0.2,-0.2032,0.0224988,-0.0228667,0
270,0.2016,-0.2048,0.0225825,-0.0229503,0
271,0.2016,-0.2048,0.0226828,-0.0230506,0
272,0.2032,-0.2064,0.0227664,-0.0231343,0
273,0.2032,-0.2064,0.0228667,-0.0232346,0
274,0.2048,-0.208,0.0229503,-0.0233182,0
275,0.2048,-0.208,0.0230506,-0.0234185,0
276,0.2064,-0.2096,0.0231343,-0.0235021,0
277,0.2064,-0.2096,0.0232346,-0.0236024,0
278,0.208,-0.2112,0.0233182,-0.023686,0
279,0.208,-0.2112,0.0234185,-0.0237863,0
280,0.2096,-0.2128,0.0235021,-0.02387,0
281,0.2096,-0.2128,0.0236024,-0.0239703,0
282,0.2112,-0.2144,0.023686,-0.0240539,0
283,0.2112,-0.2144,0.0237863,-0.0241542,0
284,0.2128,-0.216,0.02387,-0.0242378,0
285,0.2128,-0.216,0.0239703,-0.0243381,0
286,0.2144,-0.2176,0.0240539,-0.0244217,0
287,0.2144,-0.2176,0.0241542,-0.024522,0
288,0.216,-0.2192,0.0242378,-0.0246057,0
289,0.216,-0.2192,0.0243381,-0.024706,0
290,0.2176,-0.2208,0.0244217,-0.0247896,0
291,0.2176,-0.2208,0.024522,-0.0248899,0
292,0.2192,-0.2224,0.0246057,-0.0249735,0
293,0.2192,-0.2224,0.024706,-0.0250738,0
294,0.2208,-0.224,0.0247896,-0.0251574,0
295,0.2208,-0.224,0.0248899,-0.0252577,0
296,0.2224,-0.2256,0.0249735,-0.0253413,0
297,0.2224,-0.2256,0.0250738,-0.0254416,0
298,0.224,-0.2272,0.0251574,-0.0255252,0
299,0.224,-0.2272,0.0252577,-0.0256255,0
300,0.2256,-0.2288,0.0253413,-0.0257091,0
301,0.2256,-0.2288,0.0254416,-0.0258094,0
302,0.2272,-0.2304,0.0255252,-0.025893,0
303,0.2272,-0.2304,0.0256255,-0.0259933,0
304,0.2288,-0.232,0.0257091,-0.026077,0
305,0.2288,-0.232,0.0258094,-0.0261772,0
306,0.2304,-0.2336,0.025893,-0.0262609,0
307,0.2304,-0.2336,0.0259933,-0.0263612,0
308,0.232,-0.2352,0.026077,-0.0264448,0
309,0.232,-0.2352,0.0261772,-0.0265451,0
310,0.2336,-0.2368,0.0262609,-0.0266287,0
311,0.2336,-0.2368,0.0263612,-0.026729,0
312,0.2352,-0.2384,0.0264448,-0.0268126,0
313,0.2352,-0.2384,0.0265451,-0.0269129,0
314,0.2368,-0.24,0.0266287,-0.0269965,0
315,0.2368,-0.24,0.026729,-0.0270968,0
316,0.2384,-0.2416,0.0268126,-0.0271804,0
317,0.2384,-0.2416,0.0269129,-0.0272807,0
318,0.24,-0.2432,0.0269965,-0.0273643,0
319,0.24,-0.2432,0.0270968,-0.0274646,0
320,0.2416,-0.2448,0.0271804,-0.0275482,0
321,0.2416,-0.2448,0.0272807,-0.0276485,0
322,0.2432,-0.2464,0.0273643,-0.0277321,0
323,0.2432,-0.2464,0.0274646,-0.0278323,0
324,0.2448,-0.248,0.0275482,-0.027916,0
325,0.2448,-0.248,0.0276485,-0.0280162,0
326,0.2464,-0.2496,0.0277321,-0.0280998,0
327,0.2464,-0.2496,0.0278323,-0.0282001,0
328,0.248,-0.2512,0.027916,-0.0282837,0
329,0.248,-0.2512,0.0280162,-0.028384,0
330,0.2496,-0.2528,0.0280998,-0.0284676,0
331,0.2496,-0.2528,0.0282001,-0.0285679,0
332,0.2512,-0.2544,0.0282837,-0.0286515,0
333,0.2512,-0.2544,0.028384,-0.0287518,0
334,0.2528,-0.256,0.0284676,-0.0288354,0
335,0.2528,-0.256,0.0285679,-0.0289357,0
