time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
456,0.3344,-0.3376,0.0378442,-0.0382119,0
457,0.3344,-0.3376,0.0379445,-0.0383121,0
458,0.336,-0.3392,0.0380281,-0.0383957,0
459,0.336,-0.3392,0.0381283,-0.0384959,0
460,0.3376,-0.3408,0.0382119,-0.0385795,0
461,0.3376,-0.3408,0.0383121,-0.0386797,0
462,0.3392,-0.3424,0.0383957,-0.0387633,0
463,0.3392,-0.3424,0.0384959,-0.0388636,0
464,0.3408,-0.344,0.0385795,-0.0389471,0
465,0.3408,-0.344,0.0386797,-0.0390474,0
466,0.3424,-0.3456,0.0387633,-0.0391309,0
467,0.3424,-0.3456,0.0388636,-0.0392312,0
468,0.344,-0.3472,0.0389471,-0.0393148,0
469,0.344,-0.3472,0.0390474,-0.039415,0
470,0.3456,-0.3488,0.0391309,-0.0394986,0
471,0.3456,-0.3488,0.0392312,-0.0395988,0
472,0.3472,-0.3504,0.0393148,-0.0396824,0
473,0.3472,-0.3504,0.039415,-0.0397826,0
474,0.3488,-0.352,0.0394986,-0.0398662,0
475,0.3488,-0.352,0.0395988,-0.0399664,0
476,0.3504,-0.3536,0.0396824,-0.04005,0
477,0.3504,-0.3536,0.0397826,-0.0401502,0
478,0.352,-0.3552,0.0398662,-0.0402338,0
479,0.352,-0.3552,0.0399664,-0.040334,0
480,0.3536,-0.3568,0.04005,-0.0404176,0
481,0.3536,-0.3568,0.0401502,-0.0405178,0
482,0.3552,-0.3584,0.0402338,-0.0406014,0
483,0.3552,-0.3584,0.040334,-0.0407016,0
484,0.3568,-0.36,0.0404176,-0.0407852,0
485,0.3568,-0.36,0.0405178,-0.0408854,0
486,0.3584,-0.3616,0.0406014,-0.040969,0
487,0.3584,-0.3616,0.0407016,-0.0410692,0
488,0.36,-0.3632,0.0407852,-0.0411528,0
489,0.36,-0.3632,0.0408854,-0.041253,0
490,0.3616,-0.3648,0.040969,-0.0413366,0
491,0.3616,-0.3648,0.0410692,-0.0414368,0
492,0.3632,-0.3664,0.0411528,-0.0415204,0
493,0.3632,-0.3664,0.041253,-0.0416206,0
494,0.3648,-0.368,0.0413366,-0.0417042,0
495,0.3648,-0.368,0.0414368,-0.0418044,0
496,0.3664,-0.3696,0.0415204,-0.041888,0
497,0.3664,-0.3696,0.0416206,-0.0419882,0
498,0.368,-0.3712,0.0417042,-0.0420718,0
499,0.368,-0.3712,0.0418044,-0.042172,0
500,0.3696,-0.3728,0.041888,-0.0422555,0
501,0.3696,-0.3728,0.0419882,-0.0423558,0
502,0.3712,-0.3744,0.0420718,-0.0424393,0
503,0.3712,-0.3744,0.042172,-0.0425396,0
504,0.3728,-0.376,0.0422555,-0.0426231,0
505,0.3728,-0.376,0.0423558,-0.0427233,0
506,0.3744,-0.3776,0.0424393,-0.0428069,0
507,0.3744,-0.3776,0.0425396,-0.0429071,0
508,0.376,-0.3792,0.0426231,-0.0429907,0
509,0.376,-0.3792,0.0427233,-0.0430909,0
510,0.3776,-0.3808,0.0428069,-0.0431745,0
511,0.3776,-0.3808,0.0429071,-0.0432747,0
512,0.3792,-0.382399,0.0429907,-0.0433582,0
513,0.3792,-0.382399,0.0430909,-0.0434585,0
514,0.3808,-0.383999,0.0431745,-0.043542,0
515,0.3808,-0.383999,0.0432747,-0.0436422,0
516,0.382399,-0.385599,0.0433582,-0.0437258,0
517,0.382399,-0.385599,0.0434585,-0.043826,0
518,0.383999,-0.387199,0.043542,-0.0439096,0
519,0.383999,-0.387199,0.0436422,-0.0440098,0
520,0.385599,-0.388799,0.0437258,-0.0440934,0
521,0.385599,-0.388799,0.043826,-0.0441936,0
522,0.387199,-0.390399,0.0439096,-0.0442771,0
523,0.387199,-0.390399,0.0440098,-0.0443774,0
524,0.388799,-0.391999,0.0440934,-0.0444609,0
525,0.388799,-0.391999,0.0441936,-0.0445611,0
526,0.390399,-0.393599,0.0442771,-0.0446447,0
527,0.390399,-0.393599,0.0443774,-0.0447449,0
528,0.391999,-0.395199,0.0444609,-0.0448284,0
529,0.391999,-0.395199,0.0445611,-0.0449287,0
530,0.393599,-0.396799,0.0446447,-0.0450122,0
531,0.393599,-0.396799,0.0447449,-0.0451124,0
532,0.395199,-0.398399,0.0448284,-0.045196,0
533,0.395199,-0.398399,0.0449287,-0.0452962,0
534,0.396799,-0.399999,0.0450122,-0.0453797,0
535,0.396799,-0.399999,0.0451124,-0.04548,0
536,0.398399,-0.401599,0.045196,-0.0455635,0
537,0.398399,-0.401599,0.0452962,-0.0456637,0
538,0.399999,-0.403199,0.0453797,-0.0457473,0
539,0.399999,-0.403199,0.04548,-0.0458475,0
540,0.401599,-0.404799,0.0455635,-0.045931,0
541,0.401599,-0.404799,0.0456637,-0.0460313,0
542,0.403199,-0.406399,0.0457473,-0.0461148,0
543,0.403199,-0.406399,0.0458475,-0.046215,0
544,0.404799,-0.407999,0.045931,-0.0462986,0
545,0.404799,-0.407999,0.0460313,-0.0463988,0
546,0.406399,-0.409599,0.0461148,-0.0464823,0
547,0.406399,-0.409599,0.046215,-0.0465825,0
548,0.407999,-0.411199,0.0462986,-0.0466661,0
549,0.407999,-0.411199,0.0463988,-0.0467663,0
550,0.409599,-0.412799,0.0464823,-0.0468498,0
551,0.409599,-0.412799,0.0465825,-0.04695,0
552,0.411199,-0.414399,0.0466661,-0.0470336,0
553,0.411199,-0.414399,0.0467663,-0.0471338,0
554,0.412799,-0.415999,0.0468498,-0.0472173,0
555,0.412799,-0.415999,0.04695,-0.0473175,0
556,0.414399,-0.417599,0.0470336,-0.0474011,0
557,0.414399,-0.417599,0.0471338,-0.0475013,0
558,0.415999,-0.419199,0.0472173,-0.0475848,0
559,0.415999,-0.419199,0.0473175,-0.047685,0
560,0.417599,-0.420799,0.0474011,-0.0477686,0
561,0.417599,-0.420799,0.0475013,-0.0478688,0
562,0.419199,-0.422399,0.0475848,-0.0479523,0
563,0.419199,-0.422399,0.047685,-0.0480525,0
564,0.420799,-0.423999,0.0477686,-0.0481361,0
565,0.420799,-0.423999,0.0478688,-0.0482363,0
566,0.422399,-0.425599,0.0479523,-0.0483198,0
567,0.422399,-0.425599,0.0480525,-0.04842,0
568,0.423999,-0.427199,0.0481361,-0.0485036,0
569,0.423999,-0.427199,0.0482363,-0.0486038,0
570,0.425599,-0.428799,0.0483198,-0.0486873,0
571,0.425599,-0.428799,0.04842,-0.0487875,0
572,0.427199,-0.430399,0.0485036,-0.048871,0
573,0.427199,-0.430399,0.0486038,-0.0489712,0
574,0.428799,-0.431999,0.0486873,-0.0490548,0
575,0.428799,-0.431999,0.0487875,-0.049155,0
576,0.430399,-0.433599,0.048871,-0.0492385,0
577,0.430399,-0.433599,0.0489712,-0.0493387,0
578,0.431999,-0.435199,0.0490548,-0.0494222,0
579,0.431999,-0.435199,0.049155,-0.0495224,0
580,0.433599,-0.436799,0.0492385,-0.049606,0
581,0.433599,-0.436799,0.0493387,-0.0497062,0
582,0.435199,-0.438399,0.0494222,-0.0497897,0
583,0.435199,-0.438399,0.0495224,-0.0498899,0
584,0.436799,-0.439999,0.049606,-0.0499734,0
585,0.436799,-0.439999,0.0497062,-0.0500736,0
586,0.438399,-0.441599,0.0497897,-0.0501572,0
587,0.438399,-0.441599,0.0498899,-0.0502574,0
588,0.439999,-0.443199,0.0499734,-0.0503409,0
589,0.439999,-0.443199,0.0500736,-0.0504411,0
590,0.441599,-0.444799,0.0501572,-0.0505246,0
591,0.441599,-0.444799,0.0502574,-0.0506248,0
592,0.443199,-0.446399,0.0503409,-0.0507084,0
593,0.443199,-0.446399,0.0504411,-0.0508086,0
594,0.444799,-0.447999,0.0505246,-0.0508921,0
595,0.444799,-0.447999,0.0506248,-0.0509923,0
596,0.446399,-0.449599,0.0507084,-0.0510758,0
597,0.446399,-0.449599,0.0508086,-0.051176,0
598,0.447999,-0.451199,0.0508921,-0.0512595,0
599,0.447999,-0.451199,0.0509923,-0.0513597,0
600,0.449599,-0.452799,0.0510758,-0.0514432,0
601,0.449599,-0.452799,0.051176,-0.0515434,0
602,0.451199,-0.454399,0.0512595,-0.051627,0
603,0.451199,-0.454399,0.0513597,-0.0517272,0
604,0.452799,-0.455999,0.0514432,-0.0518107,0
605,0.452799,-0.455999,0.0515434,-0.0519109,0
606,0.454399,-0.457599,0.051627,-0.0519944,0
607,0.454399,-0.457599,0.0517272,-0.0520946,0
608,0.455999,-0.459199,0.0518107,-0.0521781,0
609,0.455999,-0.459199,0.0519109,-0.0522783,0
610,0.457599,-0.460799,0.0519944,-0.0523618,0
611,0.457599,-0.460799,0.0520946,-0.052462,0
612,0.459199,-0.462399,0.0521781,-0.0525455,0
613,0.459199,-0.462399,0.0522783,-0.0526457,0
614,0.460799,-0.463999,0.0523618,-0.0527293,0
615,0.460799,-0.463999,0.052462,-0.0528295,0
616,0.462399,-0.465599,0.0525455,-0.052913,0
617,0.462399,-0.465599,0.0526457,-0.0530132,0
618,0.463999,-0.467199,0.0527293,-0.0530967,0
619,0.463999,-0.467199,0.0528295,-0.0531969,0
620,0.465599,-0.468799,0.052913,-0.0532804,0
621,0.465599,-0.468799,0.0530132,-0.0533806,0
622,0.467199,-0.470399,0.0530967,-0.0534641,0
623,0.467199,-0.470399,0.0531969,-0.0535643,0
624,0.468799,-0.471999,0.0532804,-0.0536478,0
625,0.468799,-0.471999,0.0533806,-0.053748,0
626,0.470399,-0.473599,0.0534641,-0.0538315,0
627,0.470399,-0.473599,0.0535643,-0.0539317,0
628,0.471999,-0.475199,0.0536478,-0.0540152,0
629,0.471999,-0.475199,0.053748,-0.0541154,0
630,0.473599,-0.476799,0.0538315,-0.0541989,0
631,0.473599,-0.476799,0.0539317,-0.0542991,0
632,0.475199,-0.478399,0.0540152,-0.0543826,0
633,0.475199,-0.478399,0.0541154,-0.0544828,0
634,0.476799,-0.479999,0.0541989,-0.0545663,0
635,0.476799,-0.479999,0.0542991,-0.0546665,0
636,0.478399,-0.481599,0.0543826,-0.05475,0
637,0.478399,-0.481599,0.0544828,-0.0548502,0
638,0.479999,-0.483199,0.0545663,-0.0549337,0
639,0.479999,-0.483199,0.0546665,-0.0550339,0
640,0.481599,-0.484799,0.05475,-0.0551174,0
641,0.481599,-0.484799,0.0548502,-0.0552176,0
642,0.483199,-0.486399,0.0549337,-0.0553011,0
643,0.483199,-0.486399,0.0550339,-0.0554013,0
644,0.484799,-0.487999,0.0551174,-0.0554848,0
645,0.484799,-0.487999,0.0552176,-0.055585,0
646,0.486399,-0.489599,0.0553011,-0.0556685,0
647,0.486399,-0.489599,0.0554013,-0.0557686,0
648,0.487999,-0.491199,0.0554848,-0.0558522,0
649,0.487999,-0.491199,0.055585,-0.0559523,0
650,0.489599,-0.492799,0.0556685,-0.0560358,0
651,0.489599,-0.492799,0.0557686,-0.056136,0
652,0.491199,-0.494399,0.0558522,-0.0562195,0
653,0.491199,-0.494399,0.0559523,-0.0563197,0
654,0.492799,-0.495999,0.0560358,-0.0564032,0
655,0.492799,-0.495999,0.056136,-0.0565034,0
656,0.494399,-0.497599,0.0562195,-0.0565869,0
657,0.494399,-0.497599,0.0563197,-0.0566871,0
658,0.495999,-0.499199,0.0564032,-0.0567706,0
659,0.495999,-0.499199,0.0565034,-0.0568708,0
660,0.497599,-0.500799,0.0565869,-0.0569543,0
661,0.497599,-0.500799,0.0566871,-0.0570544,0
662,0.499199,-0.502399,0.0567706,-0.0571379,0
663,0.499199,-0.502399,0.0568708,-0.0572381,0
664,0.500799,-0.503999,0.0569543,-0.0573216,0
665,0.500799,-0.503999,0.0570544,-0.0574218,0
