time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
2246,3.10257,-3.12476,1.0565,-1.05811,0.0571536
2247,3.10257,-3.12476,1.05862,-1.06033,0.0571356
2248,3.08723,-3.10876,1.06031,-1.06211,0.0571434
2249,3.08723,-3.10876,1.06142,-1.06328,0.0571678
2250,3.1124,-3.13331,1.06239,-1.0643,0.0572008
2251,3.1124,-3.13331,1.06374,-1.06567,0.057241
2252,3.4124,-3.43331,1.06493,-1.06688,0.0572898
2253,3.4124,-3.43331,1.0716,-1.07357,0.0573616
2254,3.1124,-3.13331,1.07723,-1.07922,0.0574943
2255,3.1124,-3.13331,1.07658,-1.07858,0.0576505
2256,3.14751,-3.16711,1.07642,-1.07843,0.0577768
2257,3.14751,-3.16711,1.07725,-1.07924,0.0578848
2258,3.44751,-3.46711,1.07819,-1.08016,0.0579856
2259,3.44751,-3.46711,1.08477,-1.08674,0.0580988
2260,3.14751,-3.16711,1.09043,-1.09239,0.0582657
2261,3.14751,-3.16711,1.08989,-1.09183,0.0584513
2262,2.85475,-2.87402,1.08989,-1.09183,0.0586036
2263,2.85475,-2.87402,1.08481,-1.08674,0.0587166
2264,3.15475,-3.17402,1.08093,-1.08286,0.0587585
2265,3.15475,-3.17402,1.08344,-1.08535,0.0587699
2266,3.13377,-3.15304,1.08552,-1.08743,0.0588065
2267,3.13377,-3.15304,1.08691,-1.08882,0.0588586
2268,2.86323,-2.8827,1.08818,-1.09008,0.058918
2269,2.86323,-2.8827,1.08433,-1.08623,0.0589666
2270,3.16323,-3.1827,1.0813,-1.0832,0.0589668
2271,3.16323,-3.1827,1.0844,-1.0863,0.0589518
2272,3.1697,-3.18912,1.0869,-1.0888,0.0589722
2273,3.1697,-3.18912,1.08911,-1.09101,0.0590167
2274,2.89851,-2.91793,1.09102,-1.09293,0.0590784
2275,2.89851,-2.91793,1.0877,-1.0896,0.0591358
2276,3.19851,-3.21793,1.08512,-1.08702,0.0591492
2277,3.19851,-3.21793,1.08862,-1.09052,0.0591502
2278,3.19894,-3.21829,1.09148,-1.09338,0.0591885
2279,3.19894,-3.21829,1.09392,-1.09582,0.0592519
2280,2.92328,-2.94269,1.09607,-1.09797,0.059332
2281,2.92328,-2.94269,1.0929,-1.0948,0.0594075
2282,3.22328,-3.24269,1.09049,-1.09239,0.0594379
2283,3.22328,-3.24269,1.09416,-1.09606,0.0594552
2284,3.2203,-3.23961,1.09721,-1.09911,0.0595093
2285,3.2203,-3.23961,1.09978,-1.10168,0.059588
2286,2.94266,-2.96199,1.10207,-1.10396,0.0596825
2287,2.94266,-2.96199,1.09901,-1.1009,0.0597715
2288,3.24266,-3.26199,1.09672,-1.09862,0.0598147
2289,3.24266,-3.26199,1.10053,-1.10242,0.0598443
2290,3.23822,-2.96604,1.10371,-1.10561,0.0599103
2291,3.23822,-2.96604,1.1064,-1.10287,0.059992
2292,2.9595,-3.26024,1.10877,-1.10085,0.0600614
2293,2.9595,-3.26024,1.10568,-1.10485,0.0601229
2294,3.2595,-3.56024,1.10332,-1.10825,0.0601802
2295,3.2595,-3.56024,1.10713,-1.11671,0.0602518
2296,2.96252,-3.26024,1.11044,-1.12378,0.0603786
2297,2.96252,-3.26024,1.10795,-1.12429,0.0605251
2298,3.25612,-2.99573,1.10627,-1.12504,0.0606393
2299,3.25612,-2.99573,1.11064,-1.12101,0.0607326
2300,3.55612,-3.29573,1.11441,-1.11797,0.060814
2301,3.55612,-3.29573,1.12323,-1.12128,0.0609045
2302,3.25612,-3.25967,1.13064,-1.12423,0.0610466
2303,3.25612,-3.25967,1.13146,-1.12632,0.0612135
2304,2.98958,-2.98086,1.13253,-1.12844,0.0613714
2305,2.98958,-2.98086,1.12884,-1.12537,0.0615074
2306,3.28958,-3.28086,1.12616,-1.12318,0.0615871
2307,3.28958,-3.28086,1.12972,-1.12715,0.0616462
2308,3.25098,-2.98835,1.13279,-1.13054,0.061737
2309,3.25098,-2.98835,1.13479,-1.1281,0.0618394
2310,2.96987,-3.00443,1.13667,-1.12636,0.0619244
2311,2.96987,-3.00443,1.13317,-1.12546,0.0619899
2312,3.26987,-3.30443,1.13047,-1.12487,0.0620223
2313,3.26987,-3.30443,1.13393,-1.13003,0.0620495
2314,2.97527,-3.29851,1.13683,-1.13431,0.0621188
2315,2.97527,-3.29851,1.1339,-1.13786,0.0622077
2316,2.99213,-3.0337,1.13174,-1.14096,0.0622868
2317,2.99213,-3.0337,1.1305,-1.13874,0.0623522
2318,3.29213,-3.3337,1.12964,-1.13709,0.0623893
2319,3.29213,-3.3337,1.1346,-1.1414,0.0624248
2320,2.99797,-3.0337,1.13873,-1.14501,0.0625047
2321,2.99797,-3.0337,1.13684,-1.14259,0.0625972
2322,3.02946,-3.03523,1.13552,-1.14084,0.062653
2323,3.02946,-3.03523,1.13515,-1.13957,0.062685
2324,3.32946,-3.33523,1.13492,-1.13861,0.0627035
2325,3.32946,-3.33523,1.14035,-1.14345,0.0627302
2326,3.02946,-3.03523,1.14485,-1.14746,0.062808
2327,3.02946,-3.03523,1.14315,-1.14537,0.0629026
2328,3.32946,-3.06216,1.14198,-1.14389,0.0629629
2329,3.32946,-3.06216,1.14674,-1.14332,0.0630096
2330,3.62946,-3.36216,1.15072,-1.14299,0.0630718
2331,3.62946,-3.36216,1.15968,-1.14846,0.0631616
2332,3.32946,-3.06216,1.16721,-1.15316,0.0633155
2333,3.32946,-3.06216,1.16816,-1.15182,0.0634949
2334,3.04666,-3.08444,1.16936,-1.15116,0.0636457
2335,3.04666,-3.08444,1.16545,-1.15141,0.0637696
2336,3.34666,-3.38444,1.16257,-1.15189,0.0638557
2337,3.34666,-3.38444,1.166,-1.15805,0.0639335
2338,3.04666,-3.08444,1.169,-1.16327,0.0640512
